company_name,website_url,location,lead_score,priority_level,qualification_reasons,lead_insight,ai_recommendation,has_business_email,has_phone,has_linkedin,has_founder,has_ceo,decision_makers_count
CDL | Software House in Islamabad/Pakistan | Best Software Tech Agency in Islamabad/Pakistan |,https://cdl.com.pk/,"Islamabad, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5) | Live chat detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, SEO Optimization, Website Redesign",True,True,True,False,False,0.0
Jantrah Tech (Pvt) Ltd. - Software House in Islamabad,https://jantrah.com/,"Islamabad, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 57 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, AI Chatbot Integration, Website Redesign",True,True,True,False,False,0.0
Pixcile Technologies: Leading Software Development Company,https://www.pixciletechnologies.com/,"Karachi, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 29 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, SEO Optimization, Business Automation",True,True,True,False,False,0.0
Olivo Software Company,http://www.olivotech.com/,"Riyadh, Saudi Arabia",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 47 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, SEO Optimization, AI Chatbot Integration",True,True,True,False,False,0.0
Tranetech Software Solution LLC,https://tranetech.com/,"Abu Dhabi, UAE",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Managing Director found (+5) | Priority country (+20) | Company size 82 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"SEO Optimization, AI Chatbot Integration, AI Chatbot",True,True,True,False,False,1.0
Swift IT Company UAE,https://swiftit.ae/,"Abu Dhabi, UAE",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Managing Director found (+5) | Priority country (+20) | Company size 33 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, AI Chatbot Integration, Website Redesign",True,True,True,False,False,1.0
"Think Future Technologies | Software Development and Testing Company in Dubai, UAE",http://www.tftus.com/,"Dubai, UAE",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 541 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"SEO Optimization, AI Chatbot Integration, AI Chatbot",True,True,True,False,False,0.0
FACTS ERP Software House L.L.C,https://facts.ae/?utm_source=CMBlisting&utm_medium=organic,"Dubai, UAE",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Managing Director found (+5) | Priority country (+20) | Company size 112 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, SEO Optimization, AI Chatbot Integration",True,True,True,False,False,1.0
UnitedSol,https://www.unitedsol.net/,"Islamabad, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Managing Director found (+5) | Priority country (+20) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"SEO Optimization, AI Chatbot Integration, Website Redesign",True,True,True,False,False,1.0
TechloSet Solutions,http://techloset.com/,"Faisalabad, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | WhatsApp number found (+5) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 71 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, SEO Optimization, AI Chatbot Integration",True,True,True,False,False,0.0
The Optimum Tech,http://www.theoptimumtech.com/,"Faisalabad, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | CEO found (+15) | Managing Director found (+5) | Priority country (+20) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),CEO identified — executive-level contact. LinkedIn presence confirmed — verified company. Email communication channel available,"SEO Optimization, AI Chatbot Integration, AI Chatbot",True,True,True,False,True,2.0
SMI SOFT Technologies,http://www.smisofttech.com/,"Faisalabad, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | WhatsApp number found (+5) | Contact form exists (+10) | LinkedIn company found (+10) | Managing Director found (+5) | Priority country (+20) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"SEO Optimization, Business Automation, AI Chatbot Integration",True,True,True,False,False,1.0
SAR ZONE (Software House In Faisalabad and Automation Center),http://www.sarzone.com/,"Faisalabad, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, SEO Optimization, AI Chatbot Integration",True,True,True,False,False,0.0
Attari Developers,https://attariwebdevelopers.com/,"Faisalabad, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | WhatsApp number found (+5) | Contact form exists (+10) | LinkedIn company found (+10) | Managing Director found (+5) | Priority country (+20) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, SEO Optimization, AI Chatbot Integration",True,True,True,False,False,1.0
IT Empire Software House Pakistan,https://www.itempire.net/,"Faisalabad, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"AI Chatbot Integration, AI Chatbot",True,True,True,False,False,0.0
"Gligx Web Design and Software Development Company Dubai, UAE",https://www.gligx.com/,"Dubai, UAE",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 15 employees | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, AI Chatbot Integration, Website Redesign",True,True,True,False,False,0.0
"UAE App Developers - AI Mobile App & Software Development Company in Dubai, UAE",https://www.uaeappdevelopers.com/?utm_source=Organicseo&utm_medium=mainGBP,"Dubai, UAE",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 500 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, AI Chatbot Integration, Website Redesign",True,True,True,False,False,0.0
TechGropse Dubai Mobile App Development Company | Hire Mobile App Developers in UAE | IOS Android & Custom App Development,https://www.techgropse.ae/app-development-dubai,"Dubai, UAE",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Managing Director found (+5) | Priority country (+20) | Company size 142 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, AI Chatbot Integration, Website Redesign",True,True,True,False,False,1.0
Meridian IT Solutions | Website Design Company in Dubai,https://www.meridianuae.com/,"Dubai, UAE",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 48 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"SEO Optimization, AI Chatbot Integration, AI Chatbot",True,True,True,False,False,0.0
Creative Solutions Co. Ltd,https://www.creative-sols.com/,"Riyadh, Saudi Arabia",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Managing Director found (+5) | Priority country (+20) | Company size 56 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, AI Chatbot Integration, Website Redesign",True,True,True,False,False,1.0
Efforts Solutions IT,https://effortz.com/,"Abu Dhabi, UAE",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Managing Director found (+5) | Priority country (+20) | Company size 69 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, AI Chatbot Integration, Website Redesign",True,True,True,False,False,1.0
"Centre Source | Software Company in Abu Dhabi | App Development in Abu Dhabi, UAE",http://centresource.in/,"Abu Dhabi, UAE",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Founder found (+15) | Managing Director found (+5) | Priority country (+20) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),Founder identified — direct decision-maker access. LinkedIn presence confirmed — verified company. Email communication channel available,"UI/UX Design & Branding, AI Chatbot Integration, Website Redesign",True,True,True,True,False,2.0
"Sysberries - IT, Digital Marketing & Software development Company Abudhabi, UAE",https://www.sysberries.com/,"Abu Dhabi, UAE",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 22 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, AI Chatbot Integration, Website Redesign",True,True,True,False,False,0.0
"DXB APPS (DX Technologies LLC) | No 1 App Development Company in Dubai UAE | Hire Android, iOS & WEB Developers in Dubai, UAE",https://dxbapps.com/,"Dubai, UAE",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Managing Director found (+5) | Priority country (+20) | Company size 45 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"SEO Optimization, AI Chatbot Integration, Website Redesign",True,True,True,False,False,1.0
"Zartek Technology - Mobile App Development Company In Doha, Qatar",https://zartek.qa/,"Doha, Qatar",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | Founder found (+15) | Managing Director found (+5) | Priority country (+20) | SSL certificate (+5) | Blog exists (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),Founder identified — direct decision-maker access. Email communication channel available. Phone contact available,"UI/UX Design & Branding, AI Chatbot Integration, Social Media Marketing",True,True,False,True,False,2.0
BG SOFT Solutions | ERP & CRM solutions | Software Development Company in Qatar,https://bgsoftsolutions.com/,"Doha, Qatar",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | Managing Director found (+5) | Priority country (+20) | SSL certificate (+5) | Blog exists (+5) | Mobile app detected (+5) | AI features detected (+5) | Live chat detected (+5),Email communication channel available. Phone contact available. Located in priority market,"UI/UX Design & Branding, SEO Optimization, Business Automation",True,True,False,False,False,1.0
Zinger Stick Software Development - IT Consulting - AI Solutions in Qatar,https://zingersticksoftware.com/,"Doha, Qatar",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Managing Director found (+5) | Priority country (+20) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, SEO Optimization, AI Chatbot Integration",True,True,True,False,False,1.0
Stimes Innovations WLL | Manpower ERP Solution | Best HR Solution | Restaurant POS | Doha | Qatar,https://stimes.qa/,"Doha, Qatar",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Managing Director found (+5) | Priority country (+20) | Company size 10 employees | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, AI Chatbot Integration, Website Redesign",True,True,True,False,False,1.0
الحلول النهائية لأعمال الحاسب الالي,http://www.ultimate-sa.com/,"Jeddah, Saudi Arabia",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 352 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, SEO Optimization, AI Development / AI Agents",True,True,True,False,False,0.0
"The Hashtech - Software & Mobile App Development Company Jeddah, KSA",https://thehashtech.com/mobile/app-development-company-saudi-arabia/?utm_source=GMB&utm_medium=KSA&utm_campaign=Jeddah,"Jeddah, Saudi Arabia",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, SEO Optimization, AI Chatbot Integration",True,True,True,False,False,0.0
BOT Solutions | Software Company for ERP System KSA,https://botsolutions.tech/,"Jeddah, Saudi Arabia",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 33 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"SEO Optimization, Business Automation, AI Chatbot Integration",True,True,True,False,False,0.0
Whetstonez | software development company,https://whetstonez.com/,"Jeddah, Saudi Arabia",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"SEO Optimization, AI Chatbot Integration, Website Redesign",True,True,True,False,False,0.0
Sohoby a Jeddah based Mobile App Development Company,https://sohoby.com/,"Jeddah, Saudi Arabia",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 13 employees | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"SEO Optimization, AI Chatbot Integration, AI Chatbot",True,True,True,False,False,0.0
TechGropse Riyadh Saudi Arabia - AI Mobile App Development Company | Hire Mobile App Developers,https://www.techgropse.com/sa/mobile-app-development-saudi-arabia,"Riyadh, Saudi Arabia",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 142 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, AI Chatbot Integration, Website Redesign",True,True,True,False,False,0.0
Junkies Coder Saudi Arabia - Mobile App Development Company,https://www.junkiescoder.com/sa,"Riyadh, Saudi Arabia",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Managing Director found (+5) | Priority country (+20) | Company size 32 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, SEO Optimization, AI Chatbot Integration",True,True,True,False,False,1.0
OTG Lab - Custom Software Development Company in Singapore,https://otg-lab.com/,Singapore,100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | Priority country (+20) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5) | Live chat detected (+5),Email communication channel available. Phone contact available. Located in priority market,"UI/UX Design & Branding, SEO Optimization, Website Redesign",True,True,False,False,False,0.0
Awebstar Technologies Pte Ltd.,https://awebstar.com.sg/,Singapore,100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Managing Director found (+5) | Priority country (+20) | Company size 12 employees | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"SEO Optimization, Business Automation, AI Chatbot Integration",True,True,True,False,False,1.0
SleekDigital - Software Development,https://www.sleekdigital.sg/,Singapore,100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Managing Director found (+5) | Priority country (+20) | Company size 6 employees | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, AI Chatbot Integration, Website Redesign",True,True,True,False,False,1.0
TechTIQ Solutions - AI-Driven Software Development Company in Singapore,https://techtiqsolutions.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,Singapore,100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 9 employees | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, SEO Optimization, AI Chatbot Integration",True,True,True,False,False,0.0
"Vinova - Custom Software, Web & Mobile App Development Agency in Singapore",https://vinova.sg/,Singapore,100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 218 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, SEO Optimization, AI Chatbot Integration",True,True,True,False,False,0.0
